text,priority
water flooding everywhere in bathroom urgent,High
pipe burst and water spreading to corridor,High
electrical spark from socket dangerous,High
ac not working extreme heat unbearable,High
no water supply since morning urgent,High
rat infestation serious health hazard,High
sewage overflow in bathroom,High
cctv not working security risk,High
gas leak smell in corridor,High
fire alarm is not working,High
theft happened in hostel emergency,High
electric wiring exposed dangerous,High
internet not working for two days now,High
fan stopped working in summer cannot sleep,High
flood like water leakage in room,High
fan making slight noise occasional,Medium
wifi speed is bit slow sometimes,Medium
mess food quality could be better,Medium
chair is slightly wobbly but usable,Medium
cleaning not done in two days,Medium
light flickering occasionally in corridor,Medium
noise at night near my room,Medium
cupboard door stiff but closes,Medium
hot water delayed in morning by few minutes,Medium
network disconnects once or twice a day,Medium
elevator slightly slow to respond,Medium
dust on fan blades and shelves,Medium
study lamp not bright enough,Medium
tap water pressure slightly low,Medium
mess menu repetitive this week,Medium
minor dust issue in room,Low
suggestion to change mess menu variety,Low
request to add more seating in common room,Low
slight smell in corridor in evening,Low
request for additional dustbin in corridor,Low
minor scratch on room desk,Low
request for tv remote battery replacement,Low
feedback on improving library timing,Low
request for better study room lighting,Low
small stain on corridor wall,Low
lost and found item to report,Low
short circuit and got fire in room,High
heavy smoke from electrical switchboard urgent,High
fire emergency in block corridor,High
sparking power outlet near bed dangerous,High
my room got short circuit urgent,High
short circuit in light switch dangerous,High
electrical fire in common room emergency,High
smoke and sparks from wires critical,High
short circuit happened in the floor panel,High
burning wire smell in corridor urgent,High
